C,estimator,kernel,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_neighbors,penalty,std_score
0.2,LogisticRegression,,,,0.8587424633936261,0.8507034165948895,,,0.8458225667527993,,,l1,0.005727802854797562
0.15000000000000002,LogisticRegression,,,,0.8587424633936261,0.8502727533735285,,,0.8453919035314384,,,l1,0.006012170999532544
0.1,LogisticRegression,,,,0.8587424633936261,0.8499856445592879,,,0.8453919035314384,,,l1,0.0061945015820819155
0.05,LogisticRegression,,,,0.8578811369509044,0.8495549813379272,,,0.8419465977605513,,,l1,0.006525017615482927
,AdaBoost,,1.0,,0.9677002583979328,0.9310938845822566,,,0.8583118001722653,150,,,0.05146500575471903
,AdaBoost,,0.8944444444444445,,0.9651162790697675,0.9289405684754523,,,0.8591731266149871,150,,,0.04934430865599483
,AdaBoost,,0.788888888888889,,0.9642549526270456,0.9316681022107378,,,0.8673557278208441,150,,,0.045477075511072086
,AdaBoost,,0.5777777777777778,,0.962532299741602,0.9277921332184899,,,0.8652024117140397,150,,,0.044346928193945076
,AdaBoost,,1.0,,0.962532299741602,0.9279356876256101,,,0.8587424633936261,125,,,0.04892699806659718
,AdaBoost,,0.6833333333333333,,0.9595176571920758,0.9257823715188057,,,0.8617571059431525,150,,,0.04529454350499198
,AdaBoost,,0.8944444444444445,,0.959086993970715,0.9220499569336779,,,0.8484065460809647,125,,,0.052074052010694
,AdaBoost,,0.788888888888889,,0.959086993970715,0.924059718633362,,,0.8578811369509044,125,,,0.04682206950455102
,AdaBoost,,0.6833333333333333,,0.9573643410852714,0.9239161642262417,,,0.8617571059431525,125,,,0.043995620137993394
,AdaBoost,,0.788888888888889,,0.9556416881998278,0.9280792420327305,,,0.8781223083548665,100,,,0.035387835631652265
,AdaBoost,,1.0,,0.9552110249784669,0.9234855010048809,,,0.8626184323858742,100,,,0.043052442973620306
,AdaBoost,,0.8944444444444445,,0.9552110249784669,0.9275050244042493,,,0.8725236864771748,100,,,0.03887807443697899
,AdaBoost,,0.6833333333333333,,0.954349698535745,0.929801894918174,,,0.8867355727820844,100,,,0.030551804599712212
,AdaBoost,,0.5777777777777778,,0.9539190353143842,0.9263565891472868,,,0.8746770025839793,125,,,0.03657004496833916
,AdaBoost,,0.4722222222222222,,0.9534883720930233,0.9260694803330463,,,0.875968992248062,150,,,0.03547914572228574
,AdaBoost,,0.5777777777777778,,0.9530577088716624,0.9270743611828883,,,0.8832902670111973,100,,,0.031139727224775707
,AdaBoost,,0.4722222222222222,,0.9521963824289406,0.9259259259259259,,,0.8794142980189492,125,,,0.032980668252975166
,AdaBoost,,0.36666666666666664,,0.9478897502153316,0.9237726098191215,,,0.8845822566752799,150,,,0.027956644904595155
,AdaBoost,,0.36666666666666664,,0.9440137812230835,0.9210450760838357,,,0.884151593453919,125,,,0.026347611558433626
,AdaBoost,,0.4722222222222222,,0.9431524547803618,0.9180304335343096,,,0.875968992248062,100,,,0.02992894221241213
0.9500000000000001,SVM,rbf,,,0.94229112833764,0.9234855010048809,,,0.8901808785529716,,,,0.02361546354621604
0.9000000000000001,SVM,rbf,,,0.9418604651162791,0.9236290554120011,,,0.8906115417743324,,,,0.023389238096098185
0.5,SVM,rbf,,,0.9397071490094746,0.9184610967556704,,,0.884151593453919,,,,0.024489388902586496
0.8500000000000001,SVM,rbf,,,0.9392764857881137,0.9224806201550387,,,0.8910422049956934,,,,0.022247691316366204
0.8,SVM,rbf,,,0.9388458225667528,0.9207579672695951,,,0.8880275624461671,,,,0.023186592144208974
0.55,SVM,rbf,,,0.9388458225667528,0.9188917599770313,,,0.8863049095607235,,,,0.02323542383345516
0.4,SVM,rbf,,,0.9388458225667528,0.9174562159058283,,,0.8815676141257537,,,,0.025532514370915235
0.6000000000000001,SVM,rbf,,,0.9384151593453919,0.9194659776055124,,,0.8867355727820844,,,,0.02323985799006383
0.6500000000000001,SVM,rbf,,,0.9384151593453919,0.9206144128624748,,,0.8875968992248062,,,,0.02337072802178433
0.7500000000000001,SVM,rbf,,,0.937984496124031,0.9201837496411139,,,0.8863049095607235,,,,0.023966278213849224
0.45,SVM,rbf,,,0.937984496124031,0.9181739879414298,,,0.8858742463393626,,,,0.023034108718876907
0.3,SVM,rbf,,,0.9375538329026701,0.9157335630203848,,,0.8789836347975882,,,,0.026137942409970836
0.35000000000000003,SVM,rbf,,,0.9375538329026701,0.9168819982773471,,,0.8811369509043928,,,,0.02537869776674135
0.7000000000000001,SVM,rbf,,,0.9371231696813093,0.9200401952339936,,,0.8863049095607235,,,,0.023855097181321224
,AdaBoost,,0.2611111111111111,,0.9366925064599483,0.9177433247200689,,,0.8837209302325582,150,,,0.024109448755001536
,AdaBoost,,0.36666666666666664,,0.9362618432385874,0.9127189204708585,,,0.8807062876830318,100,,,0.023457861925020827
0.25,SVM,rbf,,,0.9354005167958657,0.914441573356302,,,0.8785529715762274,,,,0.025496167986555674
0.2,SVM,rbf,,,0.929801894918174,0.912001148435257,,,0.880275624461671,,,,0.022489070492962462
,AdaBoost,,0.2611111111111111,,0.9276485788113695,0.9074074074074074,,,0.8746770025839793,125,,,0.023359262053954576
,AdaBoost,,0.15555555555555556,,0.9263565891472868,0.9039621016365201,,,0.8746770025839793,150,,,0.021653411007711523
,AdaBoost,,0.2611111111111111,,0.9246339362618432,0.9043927648578811,,,0.872093023255814,100,,,0.023082370203162332
0.15000000000000002,SVM,rbf,,,0.9207579672695951,0.9043927648578811,,,0.875968992248062,,,,0.020175396027287795
,AdaBoost,,0.15555555555555556,,0.9186046511627907,0.9026701119724376,,,0.875968992248062,125,,,0.018998057708968796
,AdaBoost,,0.15555555555555556,,0.9130060292850991,0.9003732414585128,,,0.8763996554694229,100,,,0.01696008899751099
0.1,SVM,rbf,,,0.9069767441860465,0.89420040195234,,,0.8695090439276486,,,,0.017462967323984953
,AdaBoost,,0.05,,0.9026701119724375,0.8880275624461671,,,0.8733850129198967,150,,,0.011955591624264694
,AdaBoost,,0.05,,0.900516795865633,0.8861613551536033,,,0.8699397071490095,125,,,0.012552599620269396
,AdaBoost,,0.05,,0.8919035314384152,0.8785529715762275,,,0.8682170542635659,100,,,0.00990213285155357
0.9000000000000001,SVM,linear,,,0.8914728682170543,0.8863049095607236,,,0.880275624461671,,,,0.004611650417516245
0.9500000000000001,SVM,linear,,,0.8910422049956934,0.8861613551536033,,,0.8798449612403101,,,,0.00468260305205287
0.8,SVM,linear,,,0.8910422049956934,0.8860178007464828,,,0.8798449612403101,,,,0.0046428256183739
0.7000000000000001,SVM,linear,,,0.8906115417743324,0.8858742463393626,,,0.8798449612403101,,,,0.004489375759722036
0.8500000000000001,SVM,linear,,,0.8906115417743324,0.8861613551536033,,,0.880275624461671,,,,0.004339998983012049
0.7500000000000001,SVM,linear,,,0.8906115417743324,0.8857306919322423,,,0.8794142980189492,,,,0.004682603052052832
0.6500000000000001,SVM,linear,,,0.8901808785529716,0.8858742463393625,,,0.8807062876830318,,,,0.003915642175419435
0.6000000000000001,SVM,linear,,,0.8893195521102498,0.8857306919322423,,,0.8811369509043928,,,,0.0034152676581597117
0.05,SVM,linear,,,0.8888888888888888,0.885156474303761,,,0.8807062876830318,,,,0.0033788694504564504
0.45,SVM,linear,,,0.8880275624461671,0.8854435831180018,,,0.8819982773471146,,,,0.0025356763899878946
0.55,SVM,linear,,,0.8880275624461671,0.8854435831180018,,,0.8815676141257537,,,,0.0027910166659809725
0.5,SVM,linear,,,0.8875968992248062,0.8853000287108813,,,0.8815676141257537,,,,0.0026625376099614303
0.1,SVM,linear,,,0.8875968992248062,0.8858742463393626,,,0.8832902670111973,,,,0.0018606777773206428
0.05,SVM,rbf,,,0.8875968992248062,0.8762561010623026,,,0.8540051679586563,,,,0.015734767992988553
0.25,SVM,linear,,,0.8871662360034454,0.8853000287108815,,,0.8832902670111973,,,,0.0015856102522519779
0.15000000000000002,SVM,linear,,,0.8871662360034454,0.8847258110824002,,,0.8828596037898363,,,,0.0018044509173093311
0.35000000000000003,SVM,linear,,,0.8871662360034454,0.8855871375251221,,,0.8837209302325582,,,,0.0014211161264156963
0.4,SVM,linear,,,0.8871662360034454,0.8853000287108815,,,0.8824289405684754,,,,0.002060393352628119
0.3,SVM,linear,,,0.8867355727820844,0.8850129198966408,,,0.8832902670111973,,,,0.0014065401910899346
0.2,SVM,linear,,,0.8867355727820844,0.8855871375251221,,,0.8837209302325582,,,,0.001331268804980699
