,estimator,min_score,mean_score,max_score,std_score,C,alpha,gamma,kernel,lambda,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,n_jobs,n_neighbors,penalty,subsample
475,GradientBoosting,0.965727256436737,0.9838101384402052,0.9951650541834425,0.012925301583666293,,,,,,1.0,3,,,50,,,,
346,GradientBoosting,0.9655345328277799,0.9838058420057739,0.9940768042044007,0.01295297849085613,,,,,,0.5777777777777778,2,,,65,,,,
480,GradientBoosting,0.969297183325924,0.9837364440397517,0.9940805136206052,0.01052398238740161,,,,,,1.0,3,,,125,,,,
74,RandomForest,0.9653372690953425,0.9836760984688153,0.9932336539010818,0.01297138261277116,,,,,,,,,4,20,,,,
481,GradientBoosting,0.9693726049690446,0.9836640245731617,0.9942101577169582,0.01048002495635521,,,,,,1.0,3,,,140,,,,
265,GradientBoosting,0.9670119260704824,0.9836444096680091,0.993123947916829,0.011799234201060453,,,,,,0.2611111111111111,3,,,50,,,,
755,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.3,0.6,,0.6,0.1,3,,,125,4,,,0.5
764,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.3,0.6,,0.8999999999999999,0.1,3,,,125,4,,,0.5
611,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.0,0.6,,0.6,0.1,3,,,125,4,,,0.5
908,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.6,0.6,,0.8999999999999999,0.1,3,,,125,4,,,0.5
746,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.3,0.6,,0.3,0.1,3,,,125,4,,,0.5
1043,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.8999999999999999,0.6,,0.6,0.1,3,,,125,4,,,0.5
890,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.6,0.6,,0.3,0.1,3,,,125,4,,,0.5
899,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.6,0.6,,0.6,0.1,3,,,125,4,,,0.5
620,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.0,0.6,,0.8999999999999999,0.1,3,,,125,4,,,0.5
881,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.6,0.6,,0.0,0.1,3,,,125,4,,,0.5
602,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.0,0.6,,0.3,0.1,3,,,125,4,,,0.5
1052,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.8999999999999999,0.6,,0.8999999999999999,0.1,3,,,125,4,,,0.5
593,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.0,0.6,,0.0,0.1,3,,,125,4,,,0.5
1025,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.8999999999999999,0.6,,0.0,0.1,3,,,125,4,,,0.5
1034,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.8999999999999999,0.6,,0.3,0.1,3,,,125,4,,,0.5
737,XGBoost,0.9663697302369815,0.9836303562196881,0.9940903435735478,0.012296194946919638,,0.3,0.6,,0.0,0.1,3,,,125,4,,,0.5
479,GradientBoosting,0.9693810366269366,0.9835806450335923,0.9942466954665741,0.01045433789860448,,,,,,1.0,3,,,110,,,,
71,RandomForest,0.9661334585048466,0.9834801791237023,0.992644691343187,0.012272537563471507,,,,,,,,,3,20,,,,
728,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.3,0.3,,0.8999999999999999,0.1,3,,,125,4,,,0.5
557,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.0,0.3,,0.0,0.1,3,,,125,4,,,0.5
872,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.6,0.3,,0.8999999999999999,0.1,3,,,125,4,,,0.5
863,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.6,0.3,,0.6,0.1,3,,,125,4,,,0.5
854,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.6,0.3,,0.3,0.1,3,,,125,4,,,0.5
845,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.6,0.3,,0.0,0.1,3,,,125,4,,,0.5
719,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.3,0.3,,0.6,0.1,3,,,125,4,,,0.5
710,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.3,0.3,,0.3,0.1,3,,,125,4,,,0.5
701,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.3,0.3,,0.0,0.1,3,,,125,4,,,0.5
566,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.0,0.3,,0.3,0.1,3,,,125,4,,,0.5
1016,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.8999999999999999,0.3,,0.8999999999999999,0.1,3,,,125,4,,,0.5
1007,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.8999999999999999,0.3,,0.6,0.1,3,,,125,4,,,0.5
584,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.0,0.3,,0.8999999999999999,0.1,3,,,125,4,,,0.5
998,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.8999999999999999,0.3,,0.3,0.1,3,,,125,4,,,0.5
989,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.8999999999999999,0.3,,0.0,0.1,3,,,125,4,,,0.5
575,XGBoost,0.9659813180404678,0.9834790789775149,0.994192537989986,0.012476332185726096,,0.0,0.3,,0.6,0.1,3,,,125,4,,,0.5
935,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.6,0.8999999999999999,,0.6,0.1,3,,,125,4,,,0.5
944,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.6,0.8999999999999999,,0.8999999999999999,0.1,3,,,125,4,,,0.5
647,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.0,0.8999999999999999,,0.6,0.1,3,,,125,4,,,0.5
629,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.0,0.8999999999999999,,0.0,0.1,3,,,125,4,,,0.5
656,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.0,0.8999999999999999,,0.8999999999999999,0.1,3,,,125,4,,,0.5
1088,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.8999999999999999,0.8999999999999999,,0.8999999999999999,0.1,3,,,125,4,,,0.5
800,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.3,0.8999999999999999,,0.8999999999999999,0.1,3,,,125,4,,,0.5
791,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.3,0.8999999999999999,,0.6,0.1,3,,,125,4,,,0.5
782,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.3,0.8999999999999999,,0.3,0.1,3,,,125,4,,,0.5
926,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.6,0.8999999999999999,,0.3,0.1,3,,,125,4,,,0.5
638,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.0,0.8999999999999999,,0.3,0.1,3,,,125,4,,,0.5
1061,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.8999999999999999,0.8999999999999999,,0.0,0.1,3,,,125,4,,,0.5
917,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.6,0.8999999999999999,,0.0,0.1,3,,,125,4,,,0.5
1070,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.8999999999999999,0.8999999999999999,,0.3,0.1,3,,,125,4,,,0.5
773,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.3,0.8999999999999999,,0.0,0.1,3,,,125,4,,,0.5
1079,XGBoost,0.9661813614403421,0.9834715334845484,0.9940517656450193,0.012327674221456182,,0.8999999999999999,0.8999999999999999,,0.6,0.1,3,,,125,4,,,0.5
674,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.3,0.0,,0.3,0.1,3,,,125,4,,,0.5
818,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.6,0.0,,0.3,0.1,3,,,125,4,,,0.5
953,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.8999999999999999,0.0,,0.0,0.1,3,,,125,4,,,0.5
827,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.6,0.0,,0.6,0.1,3,,,125,4,,,0.5
809,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.6,0.0,,0.0,0.1,3,,,125,4,,,0.5
692,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.3,0.0,,0.8999999999999999,0.1,3,,,125,4,,,0.5
665,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.3,0.0,,0.0,0.1,3,,,125,4,,,0.5
962,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.8999999999999999,0.0,,0.3,0.1,3,,,125,4,,,0.5
971,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.8999999999999999,0.0,,0.6,0.1,3,,,125,4,,,0.5
683,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.3,0.0,,0.6,0.1,3,,,125,4,,,0.5
980,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.8999999999999999,0.0,,0.8999999999999999,0.1,3,,,125,4,,,0.5
836,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.6,0.0,,0.8999999999999999,0.1,3,,,125,4,,,0.5
548,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.0,0.0,,0.8999999999999999,0.1,3,,,125,4,,,0.5
530,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.0,0.0,,0.3,0.1,3,,,125,4,,,0.5
521,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.0,0.0,,0.0,0.1,3,,,125,4,,,0.5
539,XGBoost,0.9658279730535333,0.9834370589563406,0.9940285817937401,0.012536698844121306,,0.0,0.0,,0.6,0.1,3,,,125,4,,,0.5
287,GradientBoosting,0.9661421681294822,0.9833156860186508,0.9930802695410191,0.012181531328291672,,,,,,0.36666666666666664,2,,,80,,,,
324,GradientBoosting,0.9661401297066949,0.98330000663086,0.9930084923374589,0.012168803034055998,,,,,,0.4722222222222222,3,,,35,,,,
375,GradientBoosting,0.9643078655878838,0.9831915593363011,0.9944827998080006,0.013437898493104011,,,,,,0.6833333333333333,2,,,50,,,,
316,GradientBoosting,0.9649022511414704,0.9831903702197726,0.9932447821496958,0.012952997492009432,,,,,,0.4722222222222222,2,,,65,,,,
435,GradientBoosting,0.9651269409259516,0.9831629855364539,0.9937118903852674,0.012814517295011003,,,,,,0.8944444444444445,2,,,50,,,,
259,GradientBoosting,0.9655794707846761,0.9831386190809291,0.9936110869999057,0.01249289547400811,,,,,,0.2611111111111111,2,,,110,,,,
405,GradientBoosting,0.9642805321914212,0.9829556089951216,0.9933424325312833,0.013233036172427713,,,,,,0.788888888888889,2,,,50,,,,
294,GradientBoosting,0.9658897743262133,0.9829110486185412,0.9927208271107877,0.012082510835586478,,,,,,0.36666666666666664,3,,,35,,,,
237,GradientBoosting,0.9653798906627079,0.9827586438838688,0.9926609200390825,0.01232847443784453,,,,,,0.15555555555555556,3,,,80,,,,
345,GradientBoosting,0.9648202509520825,0.9827029285110043,0.9930967764431299,0.012700456693779425,,,,,,0.5777777777777778,2,,,50,,,,
474,GradientBoosting,0.9625069190555283,0.982408735965021,0.9942422441671286,0.01415641006830453,,,,,,1.0,3,,,35,,,,
258,GradientBoosting,0.9643326972836535,0.9821617840224892,0.992541105895672,0.012663670519002787,,,,,,0.2611111111111111,2,,,95,,,,
68,RandomForest,0.9639821812198627,0.982154881371283,0.9915191617312884,0.01285204311482556,,,,,,,,,2,20,,,,
65,BaggedDecisionTree,0.9631734833068925,0.9820743688065257,0.9919676301504318,0.013369834025645316,,,,,,,,,,20,,,,
286,GradientBoosting,0.9649471890983666,0.9820171993749778,0.9918567186059124,0.012117224521332626,,,,,,0.36666666666666664,2,,,65,,,,
105,ExtraTrees,0.9763393781216824,0.9819138875505325,0.9858257642695677,0.004047315256850945,,,,,,,,1,2,60,,,,
464,GradientBoosting,0.9622892710952204,0.9818895801778994,0.9926047223835818,0.013879632308489782,,,,,,1.0,2,,,35,,,,
473,GradientBoosting,0.9628724453234783,0.9817827456918122,0.9927033001192206,0.013425026495605579,,,,,,1.0,3,,,20,,,,
106,ExtraTrees,0.9759455919014575,0.9817695050769696,0.9859536463932232,0.004247110978092491,,,,,,,,1,2,100,,,,
104,ExtraTrees,0.9759782066660503,0.9814734938567442,0.985173927107004,0.00396286462950414,,,,,,,,1,2,20,,,,
443,GradientBoosting,0.9630261609327379,0.9814052084826649,0.9926075044457353,0.013099447660444167,,,,,,0.8944444444444445,3,,,20,,,,
413,GradientBoosting,0.9622109771290817,0.9814037455169763,0.9912761949698833,0.013573208434773925,,,,,,0.788888888888889,3,,,20,,,,
383,GradientBoosting,0.9625905870453784,0.9811978351475892,0.9924645064510458,0.013254579484537546,,,,,,0.6833333333333333,3,,,20,,,,
181,AdaBoost,0.9624141708187177,0.9811841735680596,0.9928590955998163,0.013403444557860897,,,,,,1.0,,,,150,,,,
236,GradientBoosting,0.9638813719474851,0.9810717086905553,0.9912030267352464,0.012219943093796792,,,,,,0.15555555555555556,3,,,65,,,,
691,XGBoost,0.964278864390959,0.981056137916467,0.9915097954553718,0.011982542607705496,,0.3,0.0,,0.8999999999999999,0.1,3,,,100,4,,,0.5
673,XGBoost,0.964278864390959,0.981056137916467,0.9915097954553718,0.011982542607705496,,0.3,0.0,,0.3,0.1,3,,,100,4,,,0.5
538,XGBoost,0.964278864390959,0.981056137916467,0.9915097954553718,0.011982542607705496,,0.0,0.0,,0.6,0.1,3,,,100,4,,,0.5
529,XGBoost,0.964278864390959,0.981056137916467,0.9915097954553718,0.011982542607705496,,0.0,0.0,,0.3,0.1,3,,,100,4,,,0.5
520,XGBoost,0.964278864390959,0.981056137916467,0.9915097954553718,0.011982542607705496,,0.0,0.0,,0.0,0.1,3,,,100,4,,,0.5
